MUN,ZONA,SECAO,ESTADO,MUNICIPIO,LOCAL,URNA,SERIEFC,DHCARGA,CODCARGA,DHABERTURA,DHENCERRAMENTO,ELAPTOS,ELCOMPARECIMENTO,LULA,BOLSONARO
10685,13,179,PI,DOM INOCÊNCIO,1180,1799616,E6F73F86,20220929T170300,786418352342431222653744,20221002T080001,20221002T210315,375,316,275,15
10685,13,245,PI,DOM INOCÊNCIO,1120,1799757,E6F73F86,20220929T180800,917731929655029418857725,20221002T080001,20221002T203804,393,335,301,17
10685,13,84,PI,DOM INOCÊNCIO,1074,1802170,6C3869E5,20220929T164300,180458188517088122803559,20221002T080001,20221002T231123,421,347,287,40
10693,48,21,PI,ELESBÃO VELOSO,1074,1280153,7985C675,20220928T135900,401956654081398188824361,20221002T080032,20221002T184100,419,317,266,28
10693,48,75,PI,ELESBÃO VELOSO,1058,1313980,7985C675,20220928T144000,482764526789867958535244,20221002T080001,20221002T200006,393,311,256,33
10693,48,9,PI,ELESBÃO VELOSO,1074,1278805,7985C675,20220928T130700,422158411583827102006623,20221002T080001,20221002T205120,418,317,275,26
10707,69,27,PI,CAPITÃO GERVÁSIO OLIVEIRA,1015,1053126,717297E6,20220926T194800,871028786182183748339045,20221002T080001,20221002T204150,343,295,269,17
10723,19,85,PI,CAMPO GRANDE DO PIAUÍ,1031,1278357,C51E5C71,20220927T091800,041310151557109843723355,20221002T080001,20221002T211425,398,319,258,23
10731,41,102,PI,ESPERANTINA,1198,1115879,BEBB6B98,20220926T121500,444683753091500598234180,20221002T080001,20221002T183607,393,293,254,29
10731,41,72,PI,ESPERANTINA,1295,1047551,BEBB6B98,20220926T093000,161855873163756653388436,20221002T080629,20221002T175938,398,335,276,40
10766,15,88,PI,CURRAIS,1104,1800045,03DDE585,20220926T171400,604022041415149293464210,20221002T080001,20221002T212731,407,330,267,33
10774,9,101,PI,FLORIANO,1449,1281878,9DBBD9E2,20220919T193600,906389101556149443120458,20221002T080001,20221002T195526,404,319,257,38
10774,9,222,PI,FLORIANO,1783,1312489,ED56C298,20220920T095200,663965202231032763872707,20221002T080001,20221002T205350,418,353,321,15
10782,62,161,PI,GEMINIANO,1082,1112989,89748DE5,20220926T103400,097573718633047660102762,20221002T080001,20221002T204134,351,294,272,10
10782,62,194,PI,GEMINIANO,1058,1131494,89748DE5,20220926T110000,774341939801281177564002,20221002T080001,20221002T204808,382,320,277,26
10790,48,115,PI,FRANCINÓPOLIS,1031,1277193,90FFC58D,20220928T103400,692885406586825529946296,20221002T080001,20221002T230042,447,353,304,22
10790,48,119,PI,FRANCINÓPOLIS,1058,1281844,90FFC58D,20220928T104800,329148478849826608448808,20221002T080001,20221002T210931,437,357,272,58
10790,48,122,PI,FRANCINÓPOLIS,1058,1285391,90FFC58D,20220928T105400,753491206092067749953529,20221002T080001,20221002T215256,436,339,260,41
10790,48,123,PI,FRANCINÓPOLIS,1058,1282842,90FFC58D,20220928T110100,026118584919785002168826,20221002T080001,20221002T200017,434,318,267,36
10812,61,318,PI,FRANCISCO AYRES,1090,1800812,FFF44CEB,20220921T102600,555108770577106414610324,20221002T080001,20221002T201526,395,321,296,14
10804,79,16,PI,GUARIBAS,1015,1755165,0B1C594B,20220927T165400,970045707386859099936627,20221002T080001,20221002T194747,441,347,305,23
