13447,54,205,,,1996,1619806,7D49ED36,20220927T143000,259804257850458898942386,20221002T080001,20221002T180516,339,262,207,30,18,2,262,LULA,177,false,0
13447,54,233,,,1155,1611915,7D49ED36,20220927T165800,987177988823147307043080,20221002T085748,20221002T181352,314,248,167,44,33,3,248,LULA,123,false,0
15989,55,29,,,1171,1773350,A11D377B,20221001T163300,170507175538126730932412,20221002T080001,20221002T171926,353,259,210,37,8,4,259,LULA,173,false,0
15598,24,133,,,1503,1125646,8F690C41,20220927T101600,935551931694932238456016,20221002T080001,20221002T170032,238,202,80,55,63,1,202,LULA,25,false,0
15911,121,251,,,1023,1632309,9734FB5B,20220926T143800,539287535746201890704849,20221002T080001,20221002T172459,259,235,168,22,41,2,235,LULA,146,false,0
15911,121,271,,,1783,1612173,9734FB5B,20220926T140100,327166322325236514212123,20221002T080001,20221002T202522,335,270,181,25,39,13,270,LULA,156,false,0
15911,121,292,,,1848,1615235,9734FB5B,20220926T142500,731207737266104703800614,20221002T080517,20221002T171932,315,270,107,95,61,5,270,LULA,12,false,0
15911,121,60,,,1228,1615382,9734FB5B,20220926T145700,801914801473588949838679,20221002T080001,20221002T171951,340,301,139,92,58,5,301,LULA,47,false,0
14656,24,174,,,1872,1625866,ERROR,20220926T175500,787636787232754983923408,20221002T090506,20221002T171735,339,293,166,74,51,5,300,LULA,92,true,7
14656,24,298,,,1252,1612267,D1E76ACA,20220926T175800,191777194292375529648404,20221002T081150,20221002T195020,329,282,141,76,46,11,282,LULA,65,false,0
13099,24,473,,,2429,1608335,CEA90CBD,20220926T162700,628020628411350814791935,20221002T080144,20221002T172022,313,273,126,85,60,1,273,LULA,41,false,0
1058,6,114,,,1325,1787394,39A025CD,20220922T090400,751141754061993787950133,20221002T060001,20221002T150338,141,66,60,4,0,2,66,LULA,56,false,0
13951,25,126,,,1104,1300651,070A4C98,20220927T173700,461115468210483538027629,20221002T080001,20221002T173222,237,210,165,32,7,6,210,LULA,133,false,0
