MUNICIPIO,ESTADO,POPULACAOESTIMADA,MARGEMDECORTE,POPULACAOAPTA,TOTALCOMPARECIMENTOS,VOTOSLULA,VOTOSBOLSONARO
SÃO JOSÉ DA BARRA,MG,6701,18.44,5465,5119,2304,2214
BORDA DA MATA,MG,14892,18.44,12146,9634,3421,4779
POUSO ALEGRE,MG,120467,18.44,98253,88442,32151,43874
ALTO CAPARAÓ,MG,5048,18.44,4117,3631,1018,2385
BOTELHOS,MG,14853,18.44,12114,9757,4964,3735
ANGELÂNDIA,MG,8130,18.44,6631,4693,2360,1793
BOTUMIRIM,MG,6435,18.44,5248,3822,2740,644
ARICANDUVA,MG,4832,18.44,3941,3456,2172,849
AUGUSTO CORRÊA,PA,37086,24.77,27900,28815,19088,6634
BRASÍLIA DE MINAS,MG,31165,18.44,25418,19496,12775,4795
BERIZAL,MG,4399,18.44,3588,3129,1991,740
BRÁS PIRES,MG,4592,18.44,3745,3242,1858,1051
BRAÚNAS,MG,5208,18.44,4248,3073,1703,1020
BONITO DE MINAS,MG,8787,18.44,7167,5785,4416,826
BUGRE,MG,3960,18.44,3230,3224,1530,1414
BRAZÓPOLIS,MG,14452,18.44,11787,10342,3938,4749
PIRANGUÇU,MG,5113,18.44,4170,3220,1154,1628
CABECEIRA GRANDE,MG,6294,18.44,5133,4109,1977,1736
BRUMADINHO,MG,31965,18.44,26071,25974,11438,10520
SÃO MIGUEL DO GUAPORÉ,RO,22622,22.52,17528,12928,3986,7845
CAMPO AZUL,MG,3828,18.44,3122,2663,2009,446
UBAÍ,MG,11834,18.44,9652,7196,5143,1406
BUENO BRANDÃO,MG,10864,18.44,8861,6777,2028,3794
SÃO JOÃO EVANGELISTA,MG,15686,18.44,12794,9390,6297,2211
CANTAGALO,MG,3967,18.44,3235,2394,1587,521
BUENÓPOLIS,MG,9522,18.44,7766,4928,2837,1490
CATAS ALTAS,MG,4561,18.44,3720,3905,2047,1202
BURITIS,MG,21472,18.44,17513,14154,6318,6588
CATUTI,MG,5303,18.44,4325,3319,2221,707
CHAPADA GAÚCHA,MG,10266,18.44,8373,6513,4070,1917
BURITIZEIRO,MG,26133,18.44,21314,14313,7642,5062
CABO VERDE,MG,13614,18.44,11104,7602,3724,3138
IPIXUNA DO PARÁ,PA,39563,24.77,29763,17599,10964,5222
AURORA DO PARÁ,PA,21239,24.77,15978,14377,9632,3546
CÔNEGO MARINHO,MG,6279,18.44,5121,4850,3691,636
CACHOEIRA DA PRATA,MG,3802,18.44,3101,2867,1381,1109
CONFINS,MG,5680,18.44,4633,5563,2253,2649
CACHOEIRA DE MINAS,MG,10820,18.44,8825,7838,2597,4092
CÓRREGO FUNDO,MG,5635,18.44,4596,4293,1598,1897
CRISÓLITA,MG,5659,18.44,4615,3380,2330,706
CACHOEIRA DOURADA,MG,2470,18.44,2015,2381,1470,725
AVEIRO,PA,18830,24.77,14166,10512,5597,4198
CAETANÓPOLIS,MG,9490,18.44,7740,7023,2756,3266
CUPARAQUE,MG,4404,18.44,3592,2854,1083,1564
CAETÉ,MG,39039,18.44,31840,26922,12904,9555
JACAREACANGA,PA,37073,24.77,27890,9000,4382,3986
CURRAL DE DENTRO,MG,6907,18.44,5633,4645,2580,1560
CAIANA,MG,4537,18.44,3700,3442,1844,1240
DELTA,MG,6600,18.44,5383,5343,3125,1731
DOM BOSCO,MG,3781,18.44,3084,2709,1219,1307
CAJURI,MG,4015,18.44,3275,3759,2503,860
FREI LAGONEGRO,MG,3342,18.44,2726,2626,1623,668
CALDAS,MG,13901,18.44,11338,8513,3088,4279
CAMACHO,MG,3204,18.44,2613,2550,1383,869
FRUTA DE LEITE,MG,6327,18.44,5160,3192,2254,507
CAMANDUCAIA,MG,19708,18.44,16074,13283,5262,6420
ITAPEVA,MG,7722,18.44,6298,7019,2484,3735
GAMELEIRAS,MG,5226,18.44,4262,3507,2249,941
CAMBUÍ,MG,25010,18.44,20398,16763,6242,7825
CAMBUQUIRA,MG,12520,18.44,10211,7811,3450,3227
GOIABEIRA,MG,3052,18.44,2489,2276,903,1138
CAMPANÁRIO,MG,3592,18.44,2930,2271,1413,643
GOIANÁ,MG,3643,18.44,2971,3217,1651,1236
CAMPANHA,MG,15169,18.44,12372,9608,3234,5149
GUARACIAMA,MG,4554,18.44,3714,3966,3102,546
BAGRE,PA,18580,24.77,13978,12501,9252,2448
CAMPESTRE,MG,20251,18.44,16517,13007,4395,6701
IBIRACATU,MG,5898,18.44,4810,4003,2916,710
CAMPINA VERDE,MG,18680,18.44,15235,10968,5017,5048
IMBÉ DE MINAS,MG,6324,18.44,5158,4254,2383,1507
INDAIABIRA,MG,7482,18.44,6102,4225,2192,1561
CAMPO BELO,MG,51375,18.44,41901,30266,11575,14632
CAMPO DO MEIO,MG,11476,18.44,9360,7766,4310,2643
JAPONVAR,MG,8232,18.44,6714,5828,4340,936
BRASIL NOVO,PA,18749,24.77,14105,12178,3875,7470
JENIPAPO DE MINAS,MG,6905,18.44,5632,3709,2556,767
CAMPO FLORIDO,MG,6570,18.44,5358,4961,2647,1973
CAMPOS ALTOS,MG,13184,18.44,10753,7349,2818,3759
JOSÉ GONÇALVES DE MINAS,MG,4547,18.44,3709,2616,1740,563
CAMPOS GERAIS,MG,26954,18.44,21984,15654,6428,7413
JOSÉ RAYDAN,MG,4146,18.44,3381,2789,1650,826
CANAÃ,MG,4668,18.44,3807,3580,2416,709
SÃO SEBASTIÃO DA VARGEM ALEGRE,MG,2743,18.44,2237,2339,1216,837
BAIÃO,PA,26190,24.77,19703,21139,15094,4653
CANÁPOLIS,MG,11313,18.44,9227,6415,3815,2091
SÃO SEBASTIÃO DO ANTA,MG,5388,18.44,4394,3992,1856,1773
CANA VERDE,MG,5712,18.44,4659,3875,1850,1671
SERRANÓPOLIS DE MINAS,MG,4515,18.44,3682,3041,2020,734
CANDEIAS,MG,15499,18.44,12641,9310,4020,3888
SETUBINHA,MG,10834,18.44,8836,5785,4151,949
CAPARAÓ,MG,4863,18.44,3966,3417,1320,1775
TAPARUBA,MG,3243,18.44,2645,2817,1587,990
SANTA BÁRBARA DO PARÁ,PA,13714,24.77,10317,13317,6830,5023
CAPELA NOVA,MG,4598,18.44,3750,3705,2094,979
UNIÃO DE MINAS,MG,4593,18.44,3746,2454,1432,882
URUANA DE MINAS,MG,2777,18.44,2265,2560,1268,1068
CAPELINHA,MG,33061,18.44,26965,21653,11470,7616
VARGEM GRANDE DO RIO PARDO,MG,4703,18.44,3836,3150,1401,1363
CAPETINGA,MG,7154,18.44,5835,4183,1839,1853
CAPIM BRANCO,MG,8763,18.44,7147,6808,2679,3143
VARJÃO DE MINAS,MG,5993,18.44,4888,4884,2427,2012
PATOS DE MINAS,MG,133054,18.44,108519,88432,29210,47944
CAPINÓPOLIS,MG,15302,18.44,12480,8896,4891,3314
BARCARENA,PA,84560,24.77,63614,77770,46430,23416
VERDELÂNDIA,MG,8029,18.44,6548,4874,3399,1083
CAPITÃO ENÉAS,MG,14106,18.44,11505,8862,5885,2133
FRANCISCO SÁ,MG,24838,18.44,20258,14947,10172,3345
VEREDINHA,MG,5732,18.44,4675,3521,2370,766
TURMALINA,MG,17219,18.44,14044,12452,8232,3028
CAPITÓLIO,MG,7634,18.44,6226,5734,2116,3038
VERMELHO NOVO,MG,4551,18.44,3712,3799,1973,1355
CAPUTIRA,MG,8855,18.44,7222,6398,3541,2138
TOCOS DO MOJI,MG,3926,18.44,3202,3338,1631,1164
CARAÍ,MG,21530,18.44,17560,9589,6569,1783
ÁGUA AZUL DO NORTE,PA,28658,24.77,21559,7102,2871,3812
XINGUARA,PA,38457,24.77,28931,27893,10083,15883
CARANAÍBA,MG,3445,18.44,2810,2646,1396,835
CARANDAÍ,MG,22240,18.44,18139,17158,8401,6309
CARANGOLA,MG,32068,18.44,26155,18892,9422,7390
CARBONITA,MG,10145,18.44,8274,5775,3458,1656
CAREAÇU,MG,6029,18.44,4917,4016,1711,1869
CARLOS CHAGAS,MG,20812,18.44,16974,11211,6409,3668
CARMÉSIA,MG,2550,18.44,2080,1802,1028,567
CARMO DA CACHOEIRA,MG,11656,18.44,9507,7266,3788,2407
CARMO DA MATA,MG,10942,18.44,8924,7875,4287,2550
CARMO DE MINAS,MG,13657,18.44,11139,7859,3448,3462
CARMO DO CAJURU,MG,18943,18.44,15450,15400,6416,6747
TRAIRÃO,PA,16097,24.77,12110,9054,2805,5721
CARMO DO PARANAÍBA,MG,30712,18.44,25049,16760,5538,9356
CARMO DO RIO CLARO,MG,19480,18.44,15888,12317,4816,6068
CARMÓPOLIS DE MINAS,MG,15743,18.44,12840,11583,5274,4801
CARRANCAS,MG,4015,18.44,3275,2756,1375,1032
CARVALHÓPOLIS,MG,3234,18.44,2638,2962,1195,1514
BENEVIDES,PA,43282,24.77,32561,38098,19270,14975
CARVALHOS,MG,4611,18.44,3761,3258,1520,1218
CASCALHO RICO,MG,2799,18.44,2283,2448,1018,1226
ESTRELA DO SUL,MG,7136,18.44,5820,4670,2599,1647
CÁSSIA,MG,17067,18.44,13920,10457,4609,4566
CONCEIÇÃO DA BARRA DE MINAS,MG,3960,18.44,3230,3073,1636,1026
CATAGUASES,MG,67384,18.44,54958,41375,23298,13514
CATAS ALTAS DA NORUEGA,MG,3424,18.44,2793,3025,1913,759
PAU D'ARCO,PA,6466,24.77,4864,5532,2452,2667
CAXAMBU,MG,21009,18.44,17135,13075,6106,5246
CEDRO DO ABAETÉ,MG,1203,18.44,981,943,432,390
BELÉM,PA,1408847,24.77,1059876,882149,392207,370564
CENTRAL DE MINAS,MG,6590,18.44,5375,4004,1860,1812
CENTRALINA,MG,10219,18.44,8335,5547,3480,1649
BONITO,PA,11279,24.77,8485,10150,6710,2428
CHALÉ,MG,5465,18.44,4457,3765,1905,1587
LAJINHA,MG,17580,18.44,14338,12652,5796,5706
CHAPADA DO NORTE,MG,15449,18.44,12600,5763,4354,749
