MUNICIPIO,ESTADO,POPULACAOESTIMADA,MARGEMDECORTE,POPULACAOAPTA,TOTALCOMPARECIMENTOS,VOTOSLULA,VOTOSBOLSONARO
VÁRZEA DA PALMA,MG,34448,18.44,28096,19740,9750,7528
VARGINHA,MG,116093,18.44,94685,82966,28811,41672
UBERLÂNDIA,MG,608369,18.44,496186,415765,178074,184744
VARZELÂNDIA,MG,19137,18.44,15608,11023,7803,2290
VAZANTE,MG,19300,18.44,15741,12569,6240,4950
VERÍSSIMO,MG,3667,18.44,2991,2244,1224,815
VESPASIANO,MG,94191,18.44,76822,71207,31416,30471
VIEIRAS,MG,3808,18.44,3106,3136,1720,1140
MATHIAS LOBATO,MG,3457,18.44,2820,2371,1410,811
VIRGEM DA LAPA,MG,14103,18.44,11502,6871,4482,1594
VIRGÍNIA,MG,8351,18.44,6811,5846,2772,2344
SÃO DOMINGOS DO CAPIM,PA,27094,24.77,20383,19189,13427,3948
VIRGINÓPOLIS,MG,10891,18.44,8883,6038,3604,1519
VIRGOLÂNDIA,MG,5724,18.44,4668,3176,2094,688
VISCONDE DO RIO BRANCO,MG,35346,18.44,28828,24333,13028,8712
VOLTA GRANDE,MG,5166,18.44,4213,3097,1849,975
ITAÚ DE MINAS,MG,14551,18.44,11868,9408,3419,4608
SÃO FÉLIX DO XINGU,PA,59238,24.77,44565,30138,9778,18706
SÃO JOÃO DO ARAGUAIA,PA,11673,24.77,8782,8705,5024,3086
NOVA ALVORADA DO SUL,MS,12026,22.52,9318,11088,4832,5383
ALCINÓPOLIS,MS,4299,22.52,3331,3310,1515,1474
LAGUNA CARAPÃ,MS,5813,22.52,4504,4383,1668,2393
JAPORÃ,MS,7362,22.52,5704,4559,3049,1169
NOVO HORIZONTE DO SUL,MS,4967,22.52,3848,2994,1431,1275
CHAPADÃO DO SUL,MS,16193,22.52,12546,15797,4400,10242
FIGUEIRÃO,MS,3280,22.52,2541,1950,876,884
SÃO MIGUEL DO GUAMÁ,PA,42987,24.77,32339,33085,20452,9153
SÃO SEBASTIÃO DA BOA VISTA,PA,20500,24.77,15422,17780,12744,3944
SENADOR JOSÉ PORFÍRIO,PA,14302,24.77,10759,9578,4881,4068
SOURE,PA,21395,24.77,16095,17019,12101,3498
VALE DO PARAÍSO,RO,8742,22.52,6773,4441,1517,2607
SÃO DOMINGOS DO NORTE,ES,7840,20.55,6229,6234,2996,2727
TOMÉ-AÇU,PA,47081,24.77,35419,39521,22565,13846
AFONSO CLÁUDIO,ES,30773,20.55,24449,18641,6524,9828
ÁGUA DOCE DO NORTE,ES,11934,20.55,9482,7774,3864,3250
BARRA DE SÃO FRANCISCO,ES,39627,20.55,31484,24541,10579,11987
ALEGRE,ES,30473,20.55,24211,18405,8037,8476
IRUPI,ES,10369,20.55,8238,8401,2329,5298
ALFREDO CHAVES,ES,13983,20.55,11109,9701,2774,5819
ALTO RIO NOVO,ES,6198,20.55,4924,4564,2371,1754
ANCHIETA,ES,19459,20.55,15460,18832,7314,9614
VILA PAVÃO,ES,8705,20.55,6916,6394,3188,2635
APIACÁ,ES,7617,20.55,6052,5004,2328,2211
MARECHAL FLORIANO,ES,12699,20.55,10089,10978,3598,5987
MARATAÍZES,ES,31221,20.55,24805,24376,7355,15079
ATÍLIO VIVÁCQUA,ES,8878,20.55,7054,6931,3078,3342
CACHOEIRO DE ITAPEMIRIM,ES,195288,20.55,155156,112517,32064,69154
ARACRUZ,ES,73358,20.55,58283,55817,22094,28032
BREJETUBA,ES,10949,20.55,8699,7517,3013,3689
BAIXO GUANDU,ES,28637,20.55,22752,18621,7611,9209
TUCURUÍ,PA,89264,24.77,67153,55279,29837,20907
SÃO ROQUE DO CANAÃ,ES,10439,20.55,8294,7793,2972,3952
SOORETAMA,ES,21867,20.55,17373,15534,7465,6624
BOA ESPERANÇA,ES,12912,20.55,10259,8273,4190,3357
PINHEIROS,ES,22663,20.55,18006,14088,8149,4781
PONTO BELO,ES,6831,20.55,5427,4810,2901,1516
BOM JESUS DO NORTE,ES,9318,20.55,7403,6106,2681,2758
VILA VALÉRIO,ES,13646,20.55,10842,10074,5276,4019
CASTELO,ES,32250,20.55,25623,23261,5580,15126
COLATINA,ES,106637,20.55,84723,72147,24057,39373
VIGIA,PA,43847,24.77,32986,30634,19936,7942
GOVERNADOR LINDENBERG,ES,9890,20.55,7858,7533,3564,3175
CONCEIÇÃO DA BARRA,ES,26230,20.55,20840,16687,9740,5250
CONCEIÇÃO DO CASTELO,ES,11326,20.55,8999,7640,2000,4605
CARIACICA,ES,356536,20.55,283268,217706,88152,104677
DIVINO DE SÃO LOURENÇO,ES,4837,20.55,3843,3203,1222,1649
GUAÇUÍ,ES,25761,20.55,20467,16685,6249,8592
DOMINGOS MARTINS,ES,31175,20.55,24769,23511,6346,14247
DORES DO RIO PRETO,ES,6106,20.55,4851,4833,1989,2326
ECOPORANGA,ES,23296,20.55,18509,14286,7685,5426
FUNDÃO,ES,15209,20.55,12084,11221,5072,4955
GUARAPARI,ES,98073,20.55,77919,74753,23500,42727
IBIRAÇU,ES,10312,20.55,8193,7626,2900,3863
IBITIRAMA,ES,8994,20.55,7146,5775,1743,3441
IÚNA,ES,25533,20.55,20286,16003,4645,9804
ICONHA,ES,11496,20.55,9134,9178,3132,4996
ITAGUAÇU,ES,13881,20.55,11028,8949,3701,4287
ITAPEMIRIM,ES,30833,20.55,24497,28117,8488,17409
ITARANA,ES,10569,20.55,8397,7483,2498,4024
URUPÁ,RO,13381,22.52,10368,6817,2159,4102
JERÔNIMO MONTEIRO,ES,10701,20.55,8502,7749,3273,3564
JOÃO NEIVA,ES,14403,20.55,11443,10205,3731,5322
MANTENÓPOLIS,ES,11463,20.55,9107,7541,3128,3793
LINHARES,ES,124564,20.55,98966,90847,32158,47927
MIMOSO DO SUL,ES,26208,20.55,20822,15824,7582,6471
MUQUI,ES,13841,20.55,10997,9319,3956,4266
MONTANHA,ES,17998,20.55,14299,11106,5844,4283
MUCURICI,ES,5755,20.55,4572,3924,2324,1288
MUNIZ FREIRE,ES,18196,20.55,14457,11074,4531,5236
REDENÇÃO,PA,64583,24.77,48586,47826,14587,30037
PANCAS,ES,18465,20.55,14670,11337,5036,5331
NOVA VENÉCIA,ES,44380,20.55,35260,29547,13287,13546
PIÚMA,ES,16249,20.55,12910,13248,4911,7077
PRESIDENTE KENNEDY,ES,10307,20.55,8189,9827,3492,5648
RIO NOVO DO SUL,ES,11111,20.55,8828,7344,1958,4684
SANTA LEOPOLDINA,ES,12349,20.55,9811,8064,3394,3605
RIO MARIA,PA,16993,24.77,12784,10704,4344,5618
SANTA TERESA,ES,20179,20.55,16032,15563,4943,8715
SÃO GABRIEL DA PALHA,ES,28878,20.55,22944,19586,8018,9876
SÃO JOSÉ DO CALÇADO,ES,10570,20.55,8398,6760,3266,2677
SÃO MATEUS,ES,96390,20.55,76582,66807,32554,27473
VIANA,ES,57539,20.55,45715,42043,17599,19780
SERRA,ES,385370,20.55,306176,277868,119399,125603
VITÓRIA,ES,314042,20.55,249506,219007,89301,102641
MARILÂNDIA,ES,10226,20.55,8125,8698,2986,4759
VILA VELHA,ES,398068,20.55,316265,277136,97141,147059
IBATIBA,ES,19649,20.55,15611,14872,4343,9091
RIO BANANAL,ES,16587,20.55,13178,11070,4755,5149
JAGUARÉ,ES,21949,20.55,17438,17007,9711,5996
PEDRO CANÁRIO,ES,23204,20.55,18436,13207,7320,4671
RONDON DO PARÁ,PA,45016,24.77,33866,20974,9409,10056
MIRANTE DA SERRA,RO,12086,22.52,9364,6527,2333,3711
MEDICILÂNDIA,PA,22624,24.77,17020,15416,4768,9415
URUARÁ,PA,35076,24.77,26388,22449,5730,15092
LARANJA DA TERRA,ES,10802,20.55,8582,7667,2756,4090
SANTA MARIA DE JETIBÁ,ES,31845,20.55,25301,24944,7111,15370
VARGEM ALTA,ES,17862,20.55,14191,12543,3339,7984
SÃO GERALDO DO ARAGUAIA,PA,24872,24.77,18711,15115,6403,7831
VENDA NOVA DO IMIGRANTE,ES,18610,20.55,14786,14639,3388,9539
ÁGUIA BRANCA,ES,9281,20.55,7374,6733,3799,2466
QUISSAMÃ,RJ,17376,18.75,14118,14934,7299,6273
PORTO REAL,RJ,14503,18.75,11784,14341,5785,7168
QUATIS,RJ,12031,18.75,9775,8790,4030,3857
ANGRA DOS REIS,RJ,148476,18.75,120637,101465,31926,60443
ARARUAMA,RJ,98268,18.75,79843,78790,23067,46791
CARDOSO MOREIRA,RJ,12206,18.75,9917,8964,3252,4974
BARRA DO PIRAÍ,RJ,96282,18.75,78229,54346,24596,23125
BELFORD ROXO,RJ,480555,18.75,390451,263296,97771,137708
VARRE-SAI,RJ,8308,18.75,6750,6777,2152,3851
BOM JARDIM,RJ,24626,18.75,20009,17203,6323,8314
BARRA MANSA,RJ,175315,18.75,142443,107750,44825,49812
GUAPIMIRIM,RJ,44692,18.75,36312,33002,12058,17591
BOM JESUS DO ITABAPOANA,RJ,33888,18.75,27534,23176,9416,11658
QUEIMADOS,RJ,130275,18.75,105848,80358,30421,41093
JAPERI,RJ,93197,18.75,75723,58785,22887,29752
CABO FRIO,RJ,162229,18.75,131811,125271,37586,75184
CACHOEIRAS DE MACACU,RJ,53037,18.75,43093,34140,12274,18409
ITABORAÍ,RJ,215792,18.75,175331,139283,53956,70659
COMENDADOR LEVY GASPARIAN,RJ,8322,18.75,6762,6777,3686,2442
CAMBUCI,RJ,14368,18.75,11674,9770,4565,4418
APERIBÉ,RJ,8820,18.75,7166,7987,2982,4290
CONCÓRDIA DO PARÁ,PA,21422,24.77,16116,19171,11500,6389
SERINGUEIRAS,RO,11757,22.52,9109,7405,2462,4401
CANTAGALO,RJ,19799,18.75,16087,12596,5231,5891
RIO DAS OSTRAS,RJ,74750,18.75,60734,72919,23471,41639
AREAL,RJ,11009,18.75,8945,7923,2899,4052
CARMO,RJ,16690,18.75,13561,11754,5838,4715
CAMPOS DOS GOYTACAZES,RJ,426154,18.75,346250,288458,93871,159381
PINHEIRAL,RJ,20885,18.75,16969,14491,7297,5749
CASIMIRO DE ABREU,RJ,27086,18.75,22007,25896,7670,15817
CONCEIÇÃO DE MACABU,RJ,19479,18.75,15827,13616,6479,5570
TRAJANO DE MORAES,RJ,9706,18.75,7886,7290,3460,3012
SÃO FRANCISCO DE ITABAPOANA,RJ,44475,18.75,36136,28406,8792,16831
CORDEIRO,RJ,18984,18.75,15425,12683,5233,6032
NOVA FRIBURGO,RJ,177376,18.75,144118,120575,42440,60659
CARAPEBUS,RJ,10677,18.75,8675,9518,3876,4846
MACAÉ,RJ,169513,18.75,137729,130992,54187,62275
DUAS BARRAS,RJ,10438,18.75,8481,8048,3650,3382
SÃO JOSÉ DE UBÁ,RJ,6829,18.75,5549,5940,2074,3289
ENGENHEIRO PAULO DE FRONTIN,RJ,12544,18.75,10192,9004,4095,3942
DUQUE DE CAXIAS,RJ,842686,18.75,684682,529529,202089,267993
TANGUÁ,RJ,28322,18.75,23012,20775,8142,10756
ITAGUAÍ,RJ,95356,18.75,77477,74311,24174,41991
ITAOCARA,RJ,22069,18.75,17931,15909,4954,9266
SEROPÉDICA,RJ,72466,18.75,58879,45917,16026,25064
ITAPERUNA,RJ,92852,18.75,75442,57759,18208,34039
ITATIAIA,RJ,31185,18.75,25338,20396,8036,10102
LAJE DO MURIAÉ,RJ,7769,18.75,6312,5413,3004,1946
MIRACEMA,RJ,26231,18.75,21313,17648,8660,7114
MESQUITA,RJ,182495,18.75,148277,108577,38687,58124
CURIONÓPOLIS,PA,17769,24.77,13368,12002,5434,5772
MAGÉ,RJ,232171,18.75,188639,155145,57530,81901
MENDES,RJ,17242,18.75,14009,12258,5449,5307
MIGUEL PEREIRA,RJ,24585,18.75,19975,18658,7056,9499
PATY DO ALFERES,RJ,25132,18.75,20420,18246,6177,10096
NATIVIDADE,RJ,14930,18.75,12131,9947,4313,4499
NILÓPOLIS,RJ,153581,18.75,124785,104608,38004,55143
NITERÓI,RJ,474002,18.75,385127,326508,147370,135810
PARACAMBI,RJ,42423,18.75,34469,26777,9826,14164
PETRÓPOLIS,RJ,306645,18.75,249149,186165,60282,97782
PARAÍBA DO SUL,RJ,39257,18.75,31896,25719,10055,12253
PARATY,RJ,32838,18.75,26681,25095,8407,14315
GARRAFÃO DO NORTE,PA,24619,24.77,18521,17237,11603,3960
PIRAÍ,RJ,24170,18.75,19638,18062,8004,8049
PORCIÚNCULA,RJ,17178,18.75,13957,10635,5286,4182
NOVA IGUAÇU,RJ,830672,18.75,674921,484890,164947,263912
RIO BONITO,RJ,51942,18.75,42203,36288,11329,20773
RESENDE,RJ,118547,18.75,96319,74569,25504,39309
RIO CLARO,RJ,17216,18.75,13988,12095,5649,5163
RIO DAS FLORES,RJ,8192,18.75,6656,6619,3937,2046
SANTA MARIA MADALENA,RJ,10409,18.75,8457,7043,3213,2953
SANTO ANTÔNIO DE PÁDUA,RJ,40145,18.75,32618,25176,9097,13656
SÃO FIDÉLIS,RJ,37477,18.75,30450,23760,7828,13737
THEOBROMA,RO,9952,22.52,7711,5830,1785,3519
SÃO GONÇALO,RJ,960631,18.75,780513,518408,208703,246578
SÃO PEDRO DA ALDEIA,RJ,75869,18.75,61644,53910,13718,34986
SÃO SEBASTIÃO DO ALTO,RJ,8616,18.75,7001,6304,2690,3025
SÃO JOÃO DE MERITI,RJ,464282,18.75,377229,289556,107385,149764
SAPUCAIA,RJ,16858,18.75,13697,12948,5142,6568
SAQUAREMA,RJ,62174,18.75,50516,56271,17521,32668
SILVA JARDIM,RJ,21362,18.75,17357,14870,5123,8284
SUMIDOURO,RJ,14562,18.75,11832,11310,3536,6700
TERESÓPOLIS,RJ,150268,18.75,122093,99860,27703,59100
TRÊS RIOS,RJ,72848,18.75,59189,49187,23650,19812
VALENÇA,RJ,70850,18.75,57566,42684,22058,15066
VASSOURAS,RJ,32495,18.75,26402,23357,10263,10379
VOLTA REDONDA,RJ,255653,18.75,207718,179038,76700,81210
ARRAIAL DO CABO,RJ,25248,18.75,20514,24233,8067,13917
ITALVA,RJ,13645,18.75,11087,8827,2823,5275
BREJO GRANDE DO ARAGUAIA,PA,7444,24.77,5600,5259,2898,2035
SÃO JOSÉ DO VALE DO RIO PRETO,RJ,19439,18.75,15794,12948,2425,9263
OURILÂNDIA DO NORTE,PA,20415,24.77,15358,17058,6496,9605
DOM ELISEU,PA,38150,24.77,28700,23036,11863,9705
SANTA MARIA DAS BARREIRAS,PA,16012,24.77,12046,9363,3467,5338
PRACUÚBA,AP,3353,27.12,2444,3079,1660,1231
AMAPÁ,AP,7492,27.12,5460,5468,3159,1767
PORTO GRANDE,AP,13962,27.12,10176,10992,5701,4222
CALÇOENE,AP,8656,27.12,6308,6254,3556,2117
MINISTRO ANDREAZZA,RO,10343,22.52,8014,4633,1536,2737
CUTIAS,AP,4320,27.12,3148,4141,2316,1475
SANTANA,AP,92098,27.12,67121,70671,29485,32918
MACAPÁ,AP,344153,27.12,250819,253197,101129,113733
OIAPOQUE,AP,19181,27.12,13979,14484,8885,4353
EUCLIDES DA CUNHA PAULISTA,SP,9923,19.21,8017,4804,2905,1468
RIO DE JANEIRO,RJ,6093472,18.75,4950946,3781223,1567852,1695337
ADAMANTINA,SP,33289,19.21,26894,20642,4697,13529
BOREBI,SP,2172,19.21,1755,2073,770,1079
ADOLFO,SP,3609,19.21,2916,3229,1101,1822
TARUMÃ,SP,12298,19.21,9936,9330,3360,5074
AGUAÍ,SP,30181,19.21,24383,17949,6311,9015
ÁGUAS DA PRATA,SP,7367,19.21,5952,5384,1730,2864
SERRA DO NAVIO,AP,3772,27.12,2749,3031,1173,1619
MOTUCA,SP,4340,19.21,3506,2801,1319,1157
IARAS,SP,4777,19.21,3859,3138,1589,1252
ÁGUAS DE LINDÓIA,SP,15867,19.21,12819,11583,2929,7077
GUATAPARÁ,SP,6217,19.21,5023,4502,2245,1748
SÃO PEDRO,SP,29733,19.21,24021,20887,5229,13122
DIRCE REIS,SP,1582,19.21,1278,1297,583,564
AGUDOS,SP,34221,19.21,27647,23314,6905,13235
FERREIRA GOMES,AP,5040,27.12,3673,4645,2300,1845
ESPÍRITO SANTO DO TURVO,SP,4103,19.21,3315,2647,1190,1189
ALFREDO MARCONDES,SP,3851,19.21,3111,3160,1159,1752
ROSANA,SP,19943,19.21,16112,10304,5302,3990
ALTAIR,SP,3272,19.21,2643,2419,1008,1172
EMBAÚBA,SP,2391,19.21,1932,1906,748,965
ALTINÓPOLIS,SP,15139,19.21,12231,9885,4138,4277
GOVERNADOR JORGE TEIXEIRA,RO,11432,22.52,8858,5417,1543,3415
ILHA SOLTEIRA,SP,24181,19.21,19536,15210,5735,7173
ALTO ALEGRE,SP,4157,19.21,3358,2790,800,1719
VITÓRIA DO JARI,AP,10765,27.12,7846,7785,5060,2186
ALUMÍNIO,SP,15678,19.21,12666,11767,4890,4994
ÁLVARES FLORENCE,SP,3902,19.21,3152,3078,959,1776
PEDRINHAS PAULISTA,SP,2834,19.21,2290,2218,694,1276
ÁLVARES MACHADO,SP,22859,19.21,18468,14769,5300,7725
ÁLVARO DE CARVALHO,SP,4610,19.21,3724,2259,1002,968
BERTIOGA,SP,39091,19.21,31582,36089,14137,17678
ALVINLÂNDIA,SP,2787,19.21,2252,2071,903,972
SUZANÁPOLIS,SP,3421,19.21,2764,2555,1242,1021
LARANJAL DO JARI,AP,37491,27.12,27323,21251,12198,7198
SANTO ANTÔNIO DO ARACANGUÁ,SP,7034,19.21,5683,5652,2206,3026
AMÉRICO BRASILIENSE,SP,31005,19.21,25049,22698,11203,8347
CANITAR,SP,4265,19.21,3446,3195,1448,1408
AMERICANA,SP,199094,19.21,160848,144267,40614,82517
AMÉRICO DE CAMPOS,SP,5379,19.21,4346,4029,1365,2266
BARRA DO CHAPÉU,SP,5077,19.21,4102,3430,1521,1316
APIAÍ,SP,25463,19.21,20572,15448,6551,6792
EMILIANÓPOLIS,SP,3021,19.21,2441,2144,990,1022
ANALÂNDIA,SP,4166,19.21,3366,3231,944,1859
AMPARO,SP,62692,19.21,50649,43325,11791,24676
MONTE ALEGRE DO SUL,SP,6957,19.21,5621,5656,1529,3187
NOVAIS,SP,3661,19.21,2958,2934,1064,1563
ANDRADINA,SP,54753,19.21,44235,34582,11518,18800
NOVA CANAÃ PAULISTA,SP,2205,19.21,1781,1495,651,642
SALTINHO,SP,6586,19.21,5321,5661,909,4143
ANGATUBA,SP,21523,19.21,17388,13796,5399,6401
ANHEMBI,SP,5271,19.21,4258,4033,1482,2131
UBARANA,SP,4552,19.21,3678,3252,1419,1518
ANHUMAS,SP,3695,19.21,2985,2659,1019,1400
CAJATI,SP,28285,19.21,22851,17206,5170,10277
APARECIDA,SP,35903,19.21,29006,22751,7346,12173
CAMPINA DO MONTE ALEGRE,SP,5320,19.21,4298,3876,1386,1991
APARECIDA D'OESTE,SP,4577,19.21,3698,3028,1345,1425
ASPÁSIA,SP,1790,19.21,1446,1496,577,787
VARGEM,SP,6883,19.21,5561,4972,1539,2736
POTIM,SP,18143,19.21,14658,10039,3681,5135
ROSEIRA,SP,9016,19.21,7284,7223,2444,3832
ARAÇOIABA DA SERRA,SP,24022,19.21,19407,20004,5804,11224
ARAÇATUBA,SP,178839,19.21,144484,118558,32370,71740
ARAMINA,SP,5019,19.21,4055,3279,1593,1349
IGARAPAVA,SP,26862,19.21,21702,15515,7102,6540
ITAOCA,SP,3087,19.21,2494,1820,928,712
ARANDU,SP,6013,19.21,4858,4453,1689,2291
TUIUTI,SP,5749,19.21,4645,4225,1223,2412
ARAPEÍ,SP,2527,19.21,2042,1874,864,791
ESTIVA GERBI,SP,9185,19.21,7421,7299,2265,4116
MOGI GUAÇU,SP,131870,19.21,106538,94294,24111,57089
ARARAQUARA,SP,195815,19.21,158199,137520,59994,55772
ARARAS,SP,108689,19.21,87810,80096,21530,45688
AREALVA,SP,7504,19.21,6062,4927,1554,2839
ENGENHEIRO COELHO,SP,12729,19.21,10284,11535,3846,6495
AREIAS,SP,3571,19.21,2885,2673,1545,856
RIBEIRÃO GRANDE,SP,6928,19.21,5597,5203,2558,1838
AREIÓPOLIS,SP,10630,19.21,8588,6755,2747,3174
TARTARUGALZINHO,AP,12395,27.12,9033,8162,4521,2996
HORTOLÂNDIA,SP,190781,19.21,154132,132660,54556,60988
ARIRANHA,SP,8255,19.21,6669,5418,1800,3017
ELISIÁRIO,SP,3024,19.21,2443,2220,657,1321
ARTUR NOGUEIRA,SP,39457,19.21,31877,31438,10200,17185
ARUJÁ,SP,72713,19.21,58745,56833,21271,26313
BOM SUCESSO DE ITARARÉ,SP,3658,19.21,2955,2595,1357,1007
PONTALINDA,SP,3906,19.21,3156,2475,1192,1062
ASSIS,SP,92965,19.21,75106,55762,18650,30077
ATIBAIA,SP,119166,19.21,96274,92957,28168,48671
AURIFLAMA,SP,13760,19.21,11117,8252,2536,4984
GUZOLÂNDIA,SP,4616,19.21,3729,3332,1470,1493
TAQUARIVAÍ,SP,5098,19.21,4119,3895,1621,1778
AVAÍ,SP,4877,19.21,3940,3138,1485,1354
MARAPOAMA,SP,2556,19.21,2065,2166,491,1472
AVANHANDAVA,SP,10875,19.21,8786,6047,2760,2649
SÃO JOÃO DE IRACEMA,SP,1725,19.21,1394,1353,709,508
AVARÉ,SP,80026,19.21,64653,51035,16186,27165
SÃO LOURENÇO DA SERRA,SP,16121,19.21,13024,9158,3875,3736
ITAPECERICA DA SERRA,SP,148728,19.21,120157,98053,49795,32475
BADY BASSITT,SP,13039,19.21,10534,11669,3246,7094
ZACARIAS,SP,2229,19.21,1801,1903,687,1034
BALBINOS,SP,3619,19.21,2924,1091,431,567
REGINÓPOLIS,SP,6993,19.21,5650,3853,1096,2362
ITAPIRAPUÃ PAULISTA,SP,3723,19.21,3008,2591,1402,913
MESÓPOLIS,SP,1768,19.21,1428,1387,578,691
BÁLSAMO,SP,7767,19.21,6275,6000,1761,3353
BANANAL,SP,10233,19.21,8267,6670,3396,2515
NOVA CAMPINA,SP,8474,19.21,6846,5541,2470,2575
BARBOSA,SP,6454,19.21,5214,4020,1619,1980
CACAULÂNDIA,RO,5553,22.52,4302,2749,685,1872
CUJUBIM,RO,13857,22.52,10736,8159,1848,5777
ILHA COMPRIDA,SP,8875,19.21,7170,7079,2735,3428
IGUAPE,SP,28977,19.21,23411,18313,6807,9286
BARÃO DE ANTONINA,SP,2751,19.21,2223,2098,928,902
LOURDES,SP,1974,19.21,1595,1260,460,680
TURIÚBA,SP,1947,19.21,1573,1502,495,870
BARIRI,SP,30995,19.21,25041,18819,4613,11512
TORRE DE PEDRA,SP,2784,19.21,2249,1932,546,1137
BARRA BONITA,SP,35090,19.21,28349,23484,7054,12960
ARCO-ÍRIS,SP,2003,19.21,1618,1726,561,977
BARRA DO TURVO,SP,7620,19.21,6156,4583,2216,1963
BREJO ALEGRE,SP,2432,19.21,1965,2028,1034,817
CANAS,SP,4318,19.21,3489,3090,1135,1556
BARRETOS,SP,107988,19.21,87244,66147,22049,35299
BARRINHA,SP,25642,19.21,20716,20984,9885,8549
PRACINHA,SP,2667,19.21,2155,1102,471,536
PRATÂNIA,SP,4309,19.21,3481,3669,1469,1794
BASTOS,SP,20613,19.21,16653,13647,3440,8614
BARUERI,SP,252748,19.21,204195,224841,94634,93212
BATATAIS,SP,53525,19.21,43243,34380,13185,15844
BEBEDOURO,SP,74865,19.21,60483,44922,12224,26879
BAURU,SP,347601,19.21,280827,216228,72701,110151
VITÓRIA BRASIL,SP,1624,19.21,1312,1334,547,662
BENTO DE ABREU,SP,2740,19.21,2214,1696,641,898
IPIGUÁ,SP,3925,19.21,3171,3426,962,2125
BERNARDINO DE CAMPOS,SP,10487,19.21,8472,6389,2173,3447
TAQUARAL,SP,2827,19.21,2284,1803,698,919
BILAC,SP,6905,19.21,5579,4972,1388,3123
FERNÃO,SP,1457,19.21,1177,1202,388,680
GAVIÃO PEIXOTO,SP,4103,19.21,3315,3249,1700,1142
JUMIRIM,SP,2205,19.21,1781,1875,598,1059
BIRIGUI,SP,103394,19.21,83532,68203,16358,43361
BIRITIBA MIRIM,SP,27483,19.21,22204,18809,6496,9057
NANTES,SP,2483,19.21,2006,1759,854,767
BOA ESPERANÇA DO SUL,SP,13208,19.21,10671,8144,4312,2905
NOVA CASTILHO,SP,1057,19.21,854,1014,355,571
BOCAINA,SP,10299,19.21,8321,7123,2022,4139
BOFETE,SP,8565,19.21,6920,6161,2125,3192
OUROESTE,SP,7035,19.21,5684,5941,2297,3044
PAULISTÂNIA,SP,1824,19.21,1474,1474,512,800
BOITUVA,SP,40783,19.21,32949,35473,10448,20006
RIBEIRÃO DOS ÍNDIOS,SP,2231,19.21,1802,1524,733,620
BOM JESUS DOS PERDÕES,SP,16211,19.21,13097,14437,4843,7529
TRABIJU,SP,1441,19.21,1164,1279,639,468
BORACÉIA,SP,4128,19.21,3335,3117,1184,1555
BORBOREMA,SP,13752,19.21,11110,9193,2552,5551
BRAÚNA,SP,4728,19.21,3820,3442,1006,2165
BRODOWSKI,SP,19018,19.21,15365,14142,4090,8229
BOTUCATU,SP,120800,19.21,97594,86005,29816,40590
ITATINGA,SP,17570,19.21,14195,12051,4473,5806
BRAGANÇA PAULISTA,SP,136286,19.21,110105,105571,29419,58530
BROTAS,SP,20996,19.21,16963,13849,3616,8257
BURI,SP,17539,19.21,14170,11875,4317,6441
BURITAMA,SP,14735,19.21,11904,10086,3355,5741
CABRÁLIA PAULISTA,SP,4340,19.21,3506,2656,1153,1212
BURITIZAL,SP,3872,19.21,3128,3005,844,1895
CABREÚVA,SP,38898,19.21,31426,27304,9318,14339
ITU,SP,147157,19.21,118888,99715,30806,53474
CACHOEIRA PAULISTA,SP,31674,19.21,25589,19329,7107,9612
CACONDE,SP,18552,19.21,14988,10476,4180,5047
TAPIRATIBA,SP,12246,19.21,9894,8101,3582,3423
CAIABU,SP,4011,19.21,3240,2758,1251,1227
CAFELÂNDIA,SP,16073,19.21,12985,9817,3310,5206
CAÇAPAVA,SP,80458,19.21,65002,58773,16688,32466
CAIUÁ,SP,4953,19.21,4002,2944,1583,1101
CAIEIRAS,SP,81163,19.21,65572,56944,24029,23497
CAJURU,SP,22695,19.21,18335,14231,6122,6301
CAJOBI,SP,9519,19.21,7690,6038,2193,3280
CAJAMAR,SP,58403,19.21,47184,54245,23376,21861
CAMPO LIMPO PAULISTA,SP,69810,19.21,56399,48306,17546,22936
CAMPOS DO JORDÃO,SP,44688,19.21,36103,29464,9402,14814
CAMPOS NOVOS PAULISTA,SP,4651,19.21,3758,2895,1012,1676
CANANÉIA,SP,12039,19.21,9726,7701,2888,3818
CÂNDIDO RODRIGUES,SP,2655,19.21,2145,2005,608,1162
CÂNDIDO MOTA,SP,29572,19.21,23891,18647,5224,11256
CAPELA DO ALTO,SP,15950,19.21,12886,11581,3303,6695
CAPÃO BONITO,SP,45275,19.21,36578,27504,9426,13973
CAPIVARI,SP,43779,19.21,35369,31064,8651,18068
CARDOSO,SP,11324,19.21,9149,7354,3171,3459
CARAGUATATUBA,SP,88815,19.21,71754,80474,28924,40760
CASA BRANCA,SP,27081,19.21,21879,15282,4479,8738
CÁSSIA DOS COQUEIROS,SP,2706,19.21,2186,2044,855,909
CASTILHO,SP,15410,19.21,12450,11977,6147,4554
CATIGUÁ,SP,6870,19.21,5550,4730,1425,2726
CARAPICUÍBA,SP,379566,19.21,306651,235022,110774,85103
CATANDUVA,SP,109362,19.21,88354,69360,18919,41207
CAMPINAS,SP,1039297,19.21,839648,685849,259973,320684
CEDRAL,SP,7607,19.21,6146,5826,1471,3659
GUAPIAÇU,SP,16392,19.21,13243,12428,4067,6834
CERQUEIRA CÉSAR,SP,16276,19.21,13149,11537,4068,5782
