MUNICIPIO,ESTADO,POPULACAOESTIMADA,TOTALCOMPARECIMENTOS,VOTOSLULA,VOTOSBOLSONARO
SANTA FILOMENA,PI,5999,4130,2961,853
SANTA LUZ,PI,5280,4114,2906,895
SANTO INÁCIO DO PIAUÍ,PI,3626,2788,2330,344
SÃO FÉLIX DO PIAUÍ,PI,3132,2994,2163,566
SÃO FRANCISCO DO PIAUÍ,PI,6276,4600,3104,1090
SÃO GONÇALO DO PIAUÍ,PI,4342,3723,2611,730
SÃO JOÃO DA SERRA,PI,6672,5248,4026,782
SÃO JOÃO DO PIAUÍ,PI,18689,12256,9220,2075
SÃO JOSÉ DO PEIXE,PI,3730,2491,1983,303
SÃO JOÃO DA VARJOTA,PI,4776,3168,2530,422
SÃO JOSÉ DO PIAUÍ,PI,6808,4745,3882,602
SEBASTIÃO BARROS,PI,4178,3467,2727,499
SÃO JULIÃO,PI,5908,4371,2885,1170
SEBASTIÃO LEAL,PI,4080,3425,2176,1018
SÃO MIGUEL DO TAPUIO,PI,19201,11902,9495,1371
ALVORADA DO GURGUÉIA,PI,4976,3601,2826,545
SÃO PEDRO DO PIAUÍ,PI,13083,9094,6635,1653
ASSUNÇÃO DO PIAUÍ,PI,8011,4985,4132,424
BETÂNIA DO PIAUÍ,PI,9312,4555,3881,317
SIMÕES,PI,13734,9389,7476,1127
BOQUEIRÃO DO PIAUÍ,PI,6325,4226,3412,495
SIMPLÍCIO MENDES,PI,11472,8172,6451,1030
CARIDADE DO PIAUÍ,PI,4583,3922,3257,355
SOCORRO DO PIAUÍ,PI,4599,3372,2523,510
CURRAL NOVO DO PIAUÍ,PI,4898,3878,3371,278
JÚLIO BORGES,PI,5250,3646,2997,343
LAGOA DO SÍTIO,PI,5042,3703,2907,447
UNIÃO,PI,41661,30098,22208,5340
URUÇUÍ,PI,19017,14354,9581,3682
MILTON BRANDÃO,PI,7018,4979,3269,1259
TERESINA,PI,779939,498721,301309,138320
VALENÇA DO PIAUÍ,PI,19716,13469,9953,2321
PAJEÚ DO PIAUÍ,PI,3616,2654,2057,358
VÁRZEA GRANDE,PI,4429,3066,2315,454
PAVUSSU,PI,4291,2959,2492,242
DIRCEU ARCOVERDE,PI,6721,4937,4214,421
RIACHO FRIO,PI,4884,3342,2846,299
ALAGOINHA DO PIAUÍ,PI,7447,5093,3648,979
ACAUÃ,PI,6300,5471,4647,448
BELÉM DO PIAUÍ,PI,2788,2572,2038,329
CAJAZEIRAS DO PIAUÍ,PI,3193,2866,2280,313
CAMPO ALEGRE DO FIDALGO,PI,4451,3745,3174,328
COCAL DE TELHA,PI,4522,3466,2902,310
FRANCISCO MACEDO,PI,2255,2253,1762,278
JOÃO COSTA,PI,3199,2783,2236,331
JOCA MARQUES,PI,5345,3339,2605,498
JUAZEIRO DO PIAUÍ,PI,4769,4551,3458,693
LAGOINHA DO PIAUÍ,PI,2563,2512,1965,368
MADEIRO,PI,7680,4777,3744,716
MORRO DO CHAPÉU DO PIAUÍ,PI,6377,3966,3101,604
MASSAPÊ DO PIAUÍ,PI,6428,4819,3945,288
MURICI DOS PORTELAS,PI,7655,4731,3525,733
OLHO D'ÁGUA DO PIAUÍ,PI,2637,1878,1447,280
SÃO FRANCISCO DE ASSIS DO PIAUÍ,PI,5015,3950,2812,640
SUSSUAPARA,PI,5537,5068,4024,671
TANQUE DO PIAUÍ,PI,2605,2002,1518,274
TAMBORIL DO PIAUÍ,PI,2897,2131,1694,257
VILA NOVA DO PIAUÍ,PI,3030,2479,1873,369
PORTO ALEGRE DO PIAUÍ,PI,2468,1649,1209,279
RIBEIRA DO PIAUÍ,PI,4103,2884,2331,334
SÃO GONÇALO DO GURGUÉIA,PI,2455,2100,1589,348
SÃO LUIS DO PIAUÍ,PI,2596,2314,1908,267
FLORESTA DO PIAUÍ,PI,2551,1980,1622,195
SANTO ANTÔNIO DOS MILAGRES,PI,1963,1572,1262,216
SÃO MIGUEL DA BAIXA GRANDE,PI,2083,1997,1480,378
CARAÚBAS DO PIAUÍ,PI,5371,4125,2998,761
CAXINGÓ,PI,5023,4601,3560,571
SÃO MIGUEL DO FIDALGO,PI,3078,2304,2003,206
ABAIARA,CE,10227,5918,4870,594
JIJOCA DE JERICOACOARA,CE,15442,14650,9151,3950
