MUNICIPIO,ESTADO,POPULACAOESTIMADA,MARGEMDECORTE,POPULACAOAPTA,TOTALCOMPARECIMENTOS,VOTOSLULA,VOTOSBOLSONARO
RIO QUENTE,GO,2959,21.24,2331,3245,1207,1702
CACHOEIRA DE GOIÁS,GO,1410,21.24,1111,1426,634,643
SANTO ANTÔNIO DE GOIÁS,GO,3893,21.24,3066,4917,2098,2331
CHAPADÃO DO CÉU,GO,5289,21.24,4166,6502,2086,3998
ALTO HORIZONTE,GO,3136,21.24,2470,4566,1840,2426
OUVIDOR,GO,4736,21.24,3730,6949,3524,2752
BURITI DE GOIÁS,GO,2238,21.24,1763,2636,837,1575
ABADIA DE GOIÁS,GO,5868,21.24,4622,9258,3649,4710
DAMOLÂNDIA,GO,2688,21.24,2117,2800,1242,1171
DAVINÓPOLIS,GO,2013,21.24,1585,2685,1547,887
HIDROLÂNDIA,GO,14004,21.24,11030,14664,5899,6832
TAQUARAL DE GOIÁS,GO,3404,21.24,2681,3498,1380,1699
