MUN,ZONA,SECAO,ESTADO,MUNICIPIO,LOCAL,URNA,SERIEFC,DHCARGA,CODCARGA,DHABERTURA,DHENCERRAMENTO,ELAPTOS,ELCOMPARECIMENTO,LULA,BOLSONARO
8079,16,258,MA,ITAPECURU MIRIM,1589,1793160,D5732D55,20220926T164500,780851193557554130363934,20221002T080001,20221002T170202,123,89,88,
8079,16,337,MA,ITAPECURU MIRIM,1759,1262919,BE647ECE,20220926T180800,972770225949818349262546,20221002T080001,20221002T170154,105,91,90,
80942,11,166,SC,SÃO CRISTÓVÃO DO SUL,1082,1845503,838E7B37,20220919T111400,082126252469123361511226,20221002T080001,20221002T170101,32,25,27,
8141,106,244,MA,PRESIDENTE SARNEY,1252,2100174,13BE5885,20220926T175500,558730450058525381211718,20221002T081251,20221002T172138,95,77,75,
8150,74,295,MA,LAGO DO JUNCO,1406,1809798,2EB4C0C8,20220927T120900,336726699914677813673596,20221002T080001,20221002T170044,76,67,66,
8222,51,175,MA,SANTANA DO MARANHÃO,1171,1814163,519A5C0C,20220923T185100,931939060567460208813636,20221002T081213,20221002T171304,53,43,43,
8249,32,133,MA,SANTO AMARO DO MARANHÃO,1228,1663513,0BA2012E,20220928T180700,748517379120690915883714,20221002T081017,20221002T173351,96,88,85,
8249,32,170,MA,SANTO AMARO DO MARANHÃO,1279,1814394,0BA2012E,20220928T185600,081951667654417265446826,20221002T080001,20221002T170525,132,113,105,
8370,43,170,MA,MONÇÃO,1260,1059490,C53999EA,20220921T152500,421203001427458720658844,20221002T080639,20221002T170337,51,44,43,
8370,43,190,MA,MONÇÃO,1414,1814206,94E51ED6,20220921T152000,269687980618946690447936,20221002T080557,20221002T171357,98,72,68,
8370,43,198,MA,MONÇÃO,1449,1322824,94E51ED6,20220921T162200,067667669098991341836713,20221002T080349,20221002T170613,146,113,110,
8397,103,28,MA,MONTES ALTOS,1090,1049486,D4426762,20220928T124900,540996565870335210651287,20221002T080001,20221002T171345,281,261,261,
8397,103,80,MA,MONTES ALTOS,1090,1292312,D4426762,20220928T130400,490491053965683667843682,20221002T080001,20221002T173651,281,269,268,
8419,110,221,MA,MORROS,1210,1259873,B50A86A9,20220921T184900,271943704608091760250173,20221002T080001,20221002T170540,196,148,142,
