MUN,ZONA,SECAO,ESTADO,MUNICIPIO,LOCAL,URNA,SERIEFC,DHCARGA,CODCARGA,DHABERTURA,DHENCERRAMENTO,ELAPTOS,ELCOMPARECIMENTO,LULA,BOLSONARO
80535,44,95,SC,BRAÇO DO NORTE,1171,1846596,D8982FD1,20220917T114000,798051973020643694038372,20221002T080001,20221002T172647,386,349,58,250
80470,88,116,SC,BLUMENAU,1244,2177697,421B031F,20220918T103600,160960988573324845229824,20221002T080001,20221002T172826,390,323,43,252
80551,5,103,SC,BRUSQUE,2097,1224829,D57781A2,20220918T150900,948149363415593422461849,20221002T080001,20221002T182044,399,337,44,266
80551,5,104,SC,BRUSQUE,1783,1227978,D57781A2,20220918T151800,554210087576228057578549,20221002T080001,20221002T180441,400,334,47,256
80551,5,139,SC,BRUSQUE,2097,1338309,D57781A2,20220918T173000,554210849276069845172036,20221002T080001,20221002T173230,398,343,35,281
80551,5,228,SC,BRUSQUE,2097,1288745,056CE726,20220918T200600,473402676817435282777859,20221002T080001,20221002T170240,397,338,56,257
80551,5,257,SC,BRUSQUE,2097,1291145,AD1C0543,20220918T174800,008755302772165089097428,20221002T080001,20221002T172550,398,350,60,264
80551,5,258,SC,BRUSQUE,1031,1320570,AD1C0543,20220918T175400,281583699200255483346303,20221002T080001,20221002T174600,384,352,48,272
80551,5,33,SC,BRUSQUE,1031,1308079,A6ED6E74,20220918T151300,443199980414760151663267,20221002T080001,20221002T174005,377,327,52,250
80551,5,80,SC,BRUSQUE,1597,1330187,D57781A2,20220918T143200,857240410606178350876338,20221002T080001,20221002T174653,363,324,43,256
80551,86,103,SC,BRUSQUE,1252,1320188,B83031BC,20220918T174300,685590108745497603159615,20221002T080001,20221002T170532,394,345,38,273
80551,86,107,SC,BRUSQUE,1139,1292263,B83031BC,20220918T181000,301752167707740877376394,20221002T080001,20221002T172618,388,350,77,252
80551,86,115,SC,BRUSQUE,1252,1228210,9DF817D6,20220918T122000,958217663759824174499169,20221002T080001,20221002T175127,391,333,36,255
80551,86,132,SC,BRUSQUE,1252,1223327,9DF817D6,20220918T155300,978419497561659805610681,20221002T080001,20221002T174333,394,333,47,256
80551,86,32,SC,BRUSQUE,1252,1321023,C52F3030,20220918T174700,129934552228219863379742,20221002T080001,20221002T173534,390,333,40,265
80551,86,33,SC,BRUSQUE,1252,1343215,C52F3030,20220918T175400,130035678429101014754109,20221002T080001,20221002T180113,394,334,62,250
80551,86,34,SC,BRUSQUE,1252,1318707,C52F3030,20220918T180100,554277208071970209103663,20221002T080001,20221002T174758,392,334,46,257
80616,103,21,SC,CAMBORIÚ,1040,1340889,6FFC7050,20220918T110500,464188714502390450977623,20221002T080001,20221002T172206,381,324,55,250
80632,30,12,SC,CAMPO ALEGRE,1040,1846604,B92D469B,20220919T104100,897010183024883333311970,20221002T080001,20221002T181745,444,359,72,254
80837,9,309,SC,CONCÓRDIA,2380,1628510,349CAD89,20220922T142300,670766935881541883957937,20221002T080001,20221002T171405,396,357,62,257
80918,83,31,SC,CUNHA PORÃ,1040,1843200,A06889C9,20220922T104100,195308516907666824799754,20221002T080001,20221002T194911,455,417,37,356
81000,33,277,SC,SANGÃO,1015,1778447,C23C44CF,20220920T172700,191673636153499380613415,20221002T080001,20221002T175317,394,336,45,272
81000,33,355,SC,SANGÃO,1015,1777546,C23C44CF,20220920T175000,716825880205794664394259,20221002T080001,20221002T175045,397,341,55,264
81000,33,359,SC,SANGÃO,1031,1846369,C23C44CF,20220920T180400,706724310104723513818470,20221002T080001,20221002T181220,396,337,52,267
81000,33,428,SC,SANGÃO,1031,1844447,C23C44CF,20220920T182500,514805893185787604593058,20221002T080001,20221002T170612,392,327,58,250
81000,33,44,SC,SANGÃO,1015,1777426,C23C44CF,20220920T162100,161370881850933904686649,20221002T080001,20221002T180032,393,325,47,251
81000,33,440,SC,SANGÃO,1015,1771645,C23C44CF,20220920T184600,817835455615331478909694,20221002T080001,20221002T171534,395,328,58,253
81000,33,45,SC,SANGÃO,1015,1829184,C23C44CF,20220920T162800,807734637914060137093724,20221002T080001,20221002T180558,393,328,46,264
81060,98,153,SC,FORQUILHINHA,1104,2046133,012F252A,20220917T161100,208371970373403301932218,20221002T080001,20221002T171706,420,361,42,290
81086,42,44,SC,MORRO GRANDE,1023,1836908,9449F4FD,20220917T143800,680718405575338250452317,20221002T080001,20221002T175601,426,349,58,259
81116,2,74,SC,GOVERNADOR CELSO RAMOS,1040,1032559,660D3D7C,20220924T110000,845306771550179703174563,20221002T080001,20221002T190734,385,321,54,253
81124,68,156,SC,SÃO JOÃO DO ITAPERIÚ,1104,1801612,A766AE08,20220920T103200,773907872218041668134595,20221002T080001,20221002T175402,381,333,54,267
81175,64,133,SC,GASPAR,1414,1328194,E3ADD34A,20220920T143100,174303808383811929160611,20221002T080001,20221002T174305,386,336,58,255
81213,99,68,SC,GRAVATAL,1040,1778771,43D30254,20220921T091600,782740082078164752276298,20221002T080001,20221002T171317,365,325,50,260
81230,5,154,SC,GUABIRUBA,1066,1827071,56212728,20220918T112800,903445782685224051211441,20221002T080001,20221002T170111,361,341,58,251
81230,5,166,SC,GUABIRUBA,1058,1821633,56212728,20220918T143100,004455179895257602644035,20221002T080001,20221002T172825,395,353,63,254
81230,5,196,SC,GUABIRUBA,1058,1828508,473D6D94,20220918T134500,135768517964643936616477,20221002T080001,20221002T170023,392,345,50,253
81272,60,114,SC,GUARAMIRIM,1139,1281692,185550A4,20220917T130500,687410284732740621830664,20221002T080001,20221002T171438,384,340,59,250
81272,60,22,SC,GUARAMIRIM,1163,1282828,438BA358,20220917T114600,758117115461023632176872,20221002T080001,20221002T172839,433,351,45,273
81272,60,85,SC,GUARAMIRIM,1074,1226516,56E3A3FD,20220917T103700,849026958317980536026194,20221002T080001,20221002T170111,447,363,71,252
81310,85,64,SC,HERVAL D'OESTE,1066,1626437,705BD78A,20220923T140800,942305804571070479777036,20221002T080001,20221002T181159,427,343,57,255
81370,79,321,SC,IÇARA,1317,1285437,A8797C83,20220917T165900,534801053345653771194291,20221002T080100,20221002T174615,391,338,65,254
81396,64,109,SC,ILHOTA,1015,1327275,434AE8FD,20220921T135000,542540620527273562004621,20221002T080001,20221002T181836,386,325,41,253
81396,64,78,SC,ILHOTA,1120,1342497,434AE8FD,20220921T113800,310217681304208825119566,20221002T080108,20221002T180515,380,327,33,268
81450,39,107,SC,IMBUIA,1120,1334088,07502B0D,20220922T142600,795999653889873256245797,20221002T080001,20221002T183631,426,381,85,256
81450,39,16,SC,IMBUIA,1031,1259326,07502B0D,20220922T132600,775797503387745279273086,20221002T080001,20221002T184258,412,366,69,258
81450,39,18,SC,IMBUIA,1058,1286374,07502B0D,20220922T134200,705090656980575692551472,20221002T080001,20221002T182240,377,350,46,278
80330,15,109,,,1015,1334502,7315FA8F,20220921T144300,670929671961636896685056,20221002T080002,20221002T170214,393,342,49,251
81477,15,112,SC,INDAIAL,1031,1271443,7CD64923,20220920T165000,228784603012196164232005,20221002T080001,20221002T170805,390,328,42,250
81590,38,102,SC,ITAIÓPOLIS,1031,1252090,F16EDE26,20220922T140800,397048703400432443874345,20221002T080001,20221002T182702,434,355,49,274
81590,38,11,SC,ITAIÓPOLIS,1031,1843730,A547CA6A,20220922T104600,114220292905938039988460,20221002T080001,20221002T185518,424,356,65,267
81639,91,267,SC,ITAPEMA,1120,1302729,31C716F6,20220918T110300,267900632699059802748609,20221002T080001,20221002T174223,396,335,57,250
81639,91,269,SC,ITAPEMA,1180,1329657,31C716F6,20220918T111900,136687720686439122124934,20221002T080001,20221002T172859,392,336,51,251
81612,16,7,SC,ITAJAÍ,1023,2188687,22D21DC6,20220917T104200,067479838445942054078626,20221002T080001,20221002T173009,434,371,83,253
81612,97,147,SC,ITAJAÍ,1562,2003265,5D139DD1,20220917T163600,784618924814517024061398,20221002T080001,20221002T170801,396,347,54,252
81612,97,305,SC,ITAJAÍ,1562,2178081,B75AE589,20220918T144600,340274160593034593389278,20221002T080001,20221002T170024,399,357,70,256
81612,97,320,SC,ITAJAÍ,1767,2001329,8178C7F9,20220918T140800,309870718167770781737235,20221002T080001,20221002T170338,397,342,64,252
81671,39,121,SC,ITUPORANGA,1104,1829758,B1C6F653,20220921T143100,952015293934688075267531,20221002T080001,20221002T180355,405,345,58,251
81671,39,61,SC,ITUPORANGA,1082,1227588,B1C6F653,20220921T132900,002520530339098777080270,20221002T080001,20221002T181958,446,404,36,349
81752,17,201,SC,JARAGUÁ DO SUL,1996,2050064,E3031113,20220917T090900,991883287467929158952132,20221002T080001,20221002T170003,396,355,55,258
